,Weight,Acc@1,Acc@5,Params,GFLOPS,Model,Family,Color
0,AlexNet_Weights.IMAGENET1K_V1,56.522,79.066,61.1M,0.71,AlexNet,AlexNet,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
1,ConvNeXt_Base_Weights.IMAGENET1K_V1,84.062,96.87,88.6M,15.36,ConvNeXt_Base,ConvNeXt,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
2,ConvNeXt_Large_Weights.IMAGENET1K_V1,84.414,96.976,197.8M,34.36,ConvNeXt_Large,ConvNeXt,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
3,ConvNeXt_Small_Weights.IMAGENET1K_V1,83.616,96.65,50.2M,8.68,ConvNeXt_Small,ConvNeXt,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
4,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,82.52,96.146,28.6M,4.46,ConvNeXt_Tiny,ConvNeXt,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274)"
5,DenseNet121_Weights.IMAGENET1K_V1,74.434,91.972,8.0M,2.83,DenseNet121,DenseNet,"(1.0, 0.4980392156862745, 0.054901960784313725)"
6,DenseNet161_Weights.IMAGENET1K_V1,77.138,93.56,28.7M,7.73,DenseNet161,DenseNet,"(1.0, 0.7333333333333333, 0.47058823529411764)"
7,DenseNet169_Weights.IMAGENET1K_V1,75.6,92.806,14.1M,3.36,DenseNet169,DenseNet,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
8,DenseNet201_Weights.IMAGENET1K_V1,76.896,93.37,20.0M,4.29,DenseNet201,DenseNet,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)"
9,EfficientNet_B0_Weights.IMAGENET1K_V1,77.692,93.532,5.3M,0.39,EfficientNet_B0,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
10,EfficientNet_B1_Weights.IMAGENET1K_V1,78.642,94.186,7.8M,0.69,EfficientNet_B1,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
12,EfficientNet_B2_Weights.IMAGENET1K_V1,80.608,95.31,9.1M,1.09,EfficientNet_B2,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
13,EfficientNet_B3_Weights.IMAGENET1K_V1,82.008,96.054,12.2M,1.83,EfficientNet_B3,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
14,EfficientNet_B4_Weights.IMAGENET1K_V1,83.384,96.594,19.3M,4.39,EfficientNet_B4,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
15,EfficientNet_B5_Weights.IMAGENET1K_V1,83.444,96.628,30.4M,10.27,EfficientNet_B5,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
16,EfficientNet_B6_Weights.IMAGENET1K_V1,84.008,96.916,43.0M,19.07,EfficientNet_B6,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
17,EfficientNet_B7_Weights.IMAGENET1K_V1,84.122,96.908,66.3M,37.75,EfficientNet_B7,EfficientNet,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
21,GoogLeNet_Weights.IMAGENET1K_V1,69.778,89.53,6.6M,1.5,GoogLeNet,GoogLeNet,"(1.0, 0.596078431372549, 0.5882352941176471)"
22,Inception_V3_Weights.IMAGENET1K_V1,77.294,93.45,27.2M,5.71,Inception_V3,Inception,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
23,MNASNet0_5_Weights.IMAGENET1K_V1,67.734,87.49,2.2M,0.1,MNASNet0_5,MNASNet,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
24,MNASNet0_75_Weights.IMAGENET1K_V1,71.18,90.496,3.2M,0.21,MNASNet0_75,MNASNet,"(0.7725490196078432, 0.6901960784313725, 0.8352941176470589)"
25,MNASNet1_0_Weights.IMAGENET1K_V1,73.456,91.51,4.4M,0.31,MNASNet1_0,MNASNet,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
26,MNASNet1_3_Weights.IMAGENET1K_V1,76.506,93.522,6.3M,0.53,MNASNet1_3,MNASNet,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
27,MaxVit_T_Weights.IMAGENET1K_V1,83.7,96.722,30.9M,5.56,MaxVit_T,MaxVit,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)"
28,MobileNet_V2_Weights.IMAGENET1K_V1,71.878,90.286,3.5M,0.3,MobileNet_V2,MobileNet,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
30,MobileNet_V3_Large_Weights.IMAGENET1K_V1,74.042,91.34,5.5M,0.22,MobileNet_V3_Large,MobileNet,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
32,MobileNet_V3_Small_Weights.IMAGENET1K_V1,67.668,87.402,2.5M,0.06,MobileNet_V3_Small,MobileNet,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
33,RegNet_X_16GF_Weights.IMAGENET1K_V1,80.058,94.944,54.3M,15.94,RegNet_X_16GF,RegNet,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
35,RegNet_X_1_6GF_Weights.IMAGENET1K_V1,77.04,93.44,9.2M,1.6,RegNet_X_1_6GF,RegNet,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
37,RegNet_X_32GF_Weights.IMAGENET1K_V1,80.622,95.248,107.8M,31.74,RegNet_X_32GF,RegNet,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
39,RegNet_X_3_2GF_Weights.IMAGENET1K_V1,78.364,93.992,15.3M,3.18,RegNet_X_3_2GF,RegNet,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
41,RegNet_X_400MF_Weights.IMAGENET1K_V1,72.834,90.95,5.5M,0.41,RegNet_X_400MF,RegNet,"(0.9686274509803922, 0.7137254901960784, 0.8235294117647058)"
